Ticker,Status
BGG,NO_DATA
HSY,AVAILABLE
WLB,NO_DATA
XEL,AVAILABLE
GWW,AVAILABLE
KMB,AVAILABLE
LLY,AVAILABLE
LNC,AVAILABLE
MHFI,NO_DATA
NOC,AVAILABLE
HSH,NO_DATA
EIX,AVAILABLE
SLB,AVAILABLE
YRCW,NO_DATA
VFC,AVAILABLE
SPXC,AVAILABLE
TAP,AVAILABLE
GCO,AVAILABLE
CNA,AVAILABLE
BF_B,NO_DATA
MRO,NO_DATA
KATE,NO_DATA
FBNIQ,NO_DATA
USW,NO_DATA
AXP,NO_DATA
CAT,AVAILABLE
JPM,AVAILABLE
CVX,AVAILABLE
DIS,AVAILABLE
XOM,AVAILABLE
HPQ,AVAILABLE
IBM,AVAILABLE
JNJ,AVAILABLE
MCD,AVAILABLE
MRK,AVAILABLE
MMM,AVAILABLE
BAC,AVAILABLE
PFE,AVAILABLE
UTX,NO_DATA
WMT,AVAILABLE
TKR,AVAILABLE
AIG,AVAILABLE
HON,AVAILABLE
INTC,AVAILABLE
ABT,AVAILABLE
AMD,AVAILABLE
APD,AVAILABLE
AEP,AVAILABLE
HES,NO_DATA
ADM,AVAILABLE
CCK,AVAILABLE
AVY,AVAILABLE
AVP,NO_DATA
BHI,NO_DATA
BLL,NO_DATA
BCR,NO_DATA
BAX,AVAILABLE
BDX,AVAILABLE
BMS,AVAILABLE
HRB,AVAILABLE
BMY,AVAILABLE
RAD,NO_DATA
CPB,AVAILABLE
CLX,AVAILABLE
CSC,NO_DATA
CAG,AVAILABLE
GLW,AVAILABLE
CSX,AVAILABLE
CMI,AVAILABLE
SCI,AVAILABLE
TGT,AVAILABLE
DOV,AVAILABLE
DOW,AVAILABLE
DUK,AVAILABLE
ETN,AVAILABLE
ECL,AVAILABLE
PKI,NO_DATA
EMR,AVAILABLE
ETR,AVAILABLE
FDX,AVAILABLE
FMC,AVAILABLE
NEE,AVAILABLE
TGNA,AVAILABLE
GPS,NO_DATA
GIS,AVAILABLE
GPC,AVAILABLE
HAL,AVAILABLE
HRS,NO_DATA
CNP,AVAILABLE
HUM,AVAILABLE
ITW,AVAILABLE
IFF,AVAILABLE
JCI,AVAILABLE
LOW,AVAILABLE
MMC,NO_DATA
MAS,AVAILABLE
MDT,AVAILABLE
CVS,AVAILABLE
MSI,AVAILABLE
THC,AVAILABLE
NWL,AVAILABLE
NEM,AVAILABLE
NSC,AVAILABLE
WFC,AVAILABLE
NUE,AVAILABLE
OXY,AVAILABLE
OKE,AVAILABLE
PCG,AVAILABLE
JCP,NO_DATA
PEP,AVAILABLE
EXC,AVAILABLE
NYT,AVAILABLE
PHM,AVAILABLE
PBI,AVAILABLE
PNC,AVAILABLE
PPG,AVAILABLE
PEG,AVAILABLE
RTN,NO_DATA
RDC,NO_DATA
LUB,NO_DATA
SHW,AVAILABLE
SNA,AVAILABLE
CNW,NO_DATA
STJ,NO_DATA
SWK,AVAILABLE
STI,AVAILABLE
SVU,AVAILABLE
SYY,AVAILABLE
CAL,AVAILABLE
TXT,AVAILABLE
TJX,AVAILABLE
TMK,NO_DATA
TYC,NO_DATA
UNP,AVAILABLE
WBA,NO_DATA
BSET,AVAILABLE
WHR,AVAILABLE
WMB,AVAILABLE
XRX,AVAILABLE
FWLT,NO_DATA
WOR,AVAILABLE
JWN,NO_DATA
NEU,AVAILABLE
HST,AVAILABLE
BCO,AVAILABLE
PLL,NO_DATA
USG,AVAILABLE
TRV,AVAILABLE
VVI,NO_DATA
NKE,AVAILABLE
DTE,AVAILABLE
TXN,AVAILABLE
ITT,AVAILABLE
RSHCQ,NO_DATA
MDP,NO_DATA
HAS,AVAILABLE
KBH,AVAILABLE
MAT,AVAILABLE
RRD,NO_DATA
ASH,AVAILABLE
UIS,AVAILABLE
DDS,AVAILABLE
ADP,AVAILABLE
NAV,NO_DATA
LPX,AVAILABLE
CTB,NO_DATA
AAPL,AVAILABLE
ADSK,AVAILABLE
CMCSA,AVAILABLE
ORCL,AVAILABLE
PCAR,AVAILABLE
DLX,AVAILABLE
MDR,NO_DATA
PBY,AVAILABLE
USB,AVAILABLE
AMGN,AVAILABLE
IPG,NO_DATA
ABX,AVAILABLE
CSCO,AVAILABLE
COST,AVAILABLE
CMCSK,NO_DATA
MSFT,AVAILABLE
UNM,AVAILABLE
KEY,AVAILABLE
EMN,AVAILABLE
CBS,NO_DATA
LUV,AVAILABLE
UNH,AVAILABLE
SIAL,NO_DATA
BSX,AVAILABLE
COP,AVAILABLE
LMT,AVAILABLE
DRI,AVAILABLE
AMAT,AVAILABLE
CMA,AVAILABLE
FCX,AVAILABLE
PPL,AVAILABLE
ALL,AVAILABLE
HIG,AVAILABLE
AON,AVAILABLE
EMC,AVAILABLE
FITB,AVAILABLE
TUP,NO_DATA
TEN,AVAILABLE
ATI,AVAILABLE
ROK,AVAILABLE
MBI,AVAILABLE
MTG,AVAILABLE
AZO,AVAILABLE
EFX,AVAILABLE
SCHW,AVAILABLE
TMO,AVAILABLE
CAH,AVAILABLE
ADBE,AVAILABLE
PTC,AVAILABLE
HLS,NO_DATA
APC,NO_DATA
OMC,AVAILABLE
PGR,AVAILABLE
STT,AVAILABLE
YUM,AVAILABLE
HBAN,AVAILABLE
APA,AVAILABLE
BBT,AVAILABLE
SNV,NO_DATA
KLAC,AVAILABLE
CINF,AVAILABLE
AEE,AVAILABLE
GRA,NO_DATA
BIG,NO_DATA
BEN,AVAILABLE
COF,AVAILABLE
MAR,AVAILABLE
SEE,AVAILABLE
SRE,AVAILABLE
MCO,AVAILABLE
SLM,AVAILABLE
NTRS,AVAILABLE
CCL,AVAILABLE
CCE,AVAILABLE
DHR,AVAILABLE
KSS,AVAILABLE
SWY,NO_DATA
AES,AVAILABLE
TWX,AVAILABLE
PAYX,AVAILABLE
SPLS,NO_DATA
CPWR,AVAILABLE
AFL,AVAILABLE
BBY,AVAILABLE
KSU,NO_DATA
CTL,NO_DATA
CMS,AVAILABLE
VMC,AVAILABLE
AGN,NO_DATA
MCK,AVAILABLE
ODP,NO_DATA
NTAP,AVAILABLE
LEG,AVAILABLE
PNW,AVAILABLE
TER,AVAILABLE
LXK,NO_DATA
TROW,AVAILABLE
SXCL,NO_DATA
ADI,AVAILABLE
RIG,AVAILABLE
BBBY,AVAILABLE
QCOM,AVAILABLE
XLNX,NO_DATA
CTXS,NO_DATA
YHOO,NO_DATA
LLTC,NO_DATA
MXIM,NO_DATA
SAPE,NO_DATA
HOG,AVAILABLE
TIF,NO_DATA
CVG,AVAILABLE
ALTR,NO_DATA
NCR,NO_DATA
SBUX,AVAILABLE
SANM,AVAILABLE
BRCM,NO_DATA
BVSN,NO_DATA
EOG,AVAILABLE
HOT,AVAILABLE
SYK,AVAILABLE
MET,AVAILABLE
JNS,NO_DATA
NBR,AVAILABLE
